parameter_k,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,0,64,100000,100000,571,573,808,797,0.5,0.5314591700133868,0.49097472924187724
70,0,65,100000,100000,591,580,803,795,0.5,0.49232736572890023,0.4802395209580838
70,0,66,100000,100000,577,609,797,797,0.5,0.4642857142857143,0.5213675213675214
70,0,67,100000,100000,584,613,802,798,0.5,0.4905897114178168,0.516867469879518
70,0,68,100000,100000,616,604,809,816,0.5,0.4670886075949367,0.491725768321513
70,0,69,100000,100000,591,582,810,802,0.5,0.5058670143415906,0.4934131736526946
70,0,70,100000,100000,573,564,785,786,0.5,0.5127860026917901,0.5241038318912238
70,0,71,100000,100000,571,587,801,788,0.5,0.47881899871630296,0.4776839565741858
70,0,72,100000,100000,580,620,787,798,0.5,0.4980891719745223,0.4836759371221282
70,0,73,100000,100000,536,562,801,804,0.5,0.45652173913043476,0.46217494089834515
70,0,74,100000,100000,572,597,809,799,0.5,0.4857142857142857,0.4922526817640048
70,0,75,100000,100000,599,585,790,804,0.5,0.48223350253807107,0.4819277108433735
70,0,76,100000,100000,556,558,799,809,0.5,0.5247252747252747,0.5138387484957883
70,0,77,100000,100000,569,548,819,806,0.5,0.5411255411255411,0.5344418052256532
70,0,78,100000,100000,547,602,817,802,0.5,0.5028011204481793,0.4875444839857651
70,0,79,100000,100000,564,563,791,787,0.5,0.4953519256308101,0.5153751537515375
70,0,80,100000,100000,580,534,795,789,0.5,0.47058823529411764,0.5084745762711864
70,0,81,100000,100000,614,595,785,794,0.5,0.5045751633986928,0.47503045066991473
70,0,82,100000,100000,593,572,821,801,0.5,0.5090673575129534,0.48991696322657174
70,0,83,100000,100000,617,582,796,812,0.5,0.5342105263157895,0.513189448441247
70,0,84,100000,100000,583,621,811,800,0.5,0.4888010540184453,0.5047846889952153
70,0,85,100000,100000,612,566,798,796,0.5,0.4568210262828536,0.4993983152827918
70,0,86,100000,100000,596,560,780,782,0.5,0.45038167938931295,0.4900990099009901
70,0,87,100000,100000,560,575,800,790,0.5,0.5047879616963065,0.508495145631068
70,0,88,100000,100000,578,549,794,803,0.5,0.5056338028169014,0.49516908212560384
70,0,89,100000,100000,569,627,803,791,0.5,0.5006802721088436,0.528554070473876
70,0,90,100000,100000,569,588,797,805,0.5,0.47870967741935483,0.4975845410628019
70,0,91,100000,100000,596,552,797,796,0.5,0.5074224021592443,0.49031476997578693
70,0,92,100000,100000,595,556,810,804,0.5,0.48456375838926175,0.4880952380952381
70,0,93,100000,100000,603,618,784,782,0.5,0.4740740740740741,0.4950980392156863
70,0,94,100000,100000,593,575,808,802,0.5,0.4935400516795866,0.4844124700239808
70,0,95,100000,100000,567,563,809,812,0.5,0.5088676671214188,0.5100830367734283
70,0,96,100000,100000,595,583,782,793,0.5,0.4756410256410256,0.47058823529411764
70,0,97,100000,100000,581,557,798,808,0.5,0.5181564245810056,0.5053892215568863
70,0,98,100000,100000,543,569,828,817,0.5,0.49025069637883006,0.513986013986014
70,0,99,100000,100000,555,584,807,798,0.5,0.495225102319236,0.48982035928143713
70,1,0,100000,100000,606,578,802,800,0.5,0.48737373737373735,0.5144230769230769
70,1,1,100000,100000,601,588,805,802,0.5,0.5115384615384615,0.4897959183673469
70,1,2,100000,100000,583,601,794,785,0.5,0.5166444740346205,0.4878048780487805
70,1,3,100000,100000,571,615,817,806,0.5,0.5033557046979866,0.5
70,1,4,100000,100000,609,615,796,808,0.5,0.5144291091593476,0.4946107784431138
70,1,5,100000,100000,579,607,799,809,0.5,0.5084745762711864,0.5280764635603346
70,1,6,100000,100000,566,595,778,788,0.5,0.47104247104247104,0.4944649446494465
70,1,7,100000,100000,565,592,793,801,0.5,0.47435897435897434,0.5024154589371981
70,1,8,100000,100000,586,554,814,805,0.5,0.5101763907734057,0.5179856115107914
70,1,9,100000,100000,571,595,817,810,0.5,0.5164257555847569,0.4976470588235294
70,1,10,100000,100000,583,548,795,802,0.5,0.4986187845303867,0.5114045618247299
70,1,11,100000,100000,578,572,804,814,0.5,0.4880636604774536,0.48642266824085006
70,1,12,100000,100000,571,569,823,815,0.5,0.5139813581890812,0.5325443786982249
70,1,13,100000,100000,570,616,804,815,0.5,0.4770992366412214,0.5279429250891795
70,1,14,100000,100000,576,582,801,805,0.5,0.4801536491677337,0.47721822541966424
70,1,15,100000,100000,585,564,794,800,0.5,0.5219178082191781,0.519277108433735
70,1,16,100000,100000,582,600,793,785,0.5,0.5220883534136547,0.510353227771011
70,1,17,100000,100000,579,595,785,788,0.5,0.48721227621483376,0.4987714987714988
70,1,18,100000,100000,577,562,794,798,0.5,0.47334200260078024,0.4752116082224909
70,1,19,100000,100000,575,592,791,791,0.5,0.5012886597938144,0.5097560975609756
70,1,20,100000,100000,568,564,787,791,0.5,0.504054054054054,0.5012285012285013
70,1,21,100000,100000,588,601,805,793,0.5,0.5131578947368421,0.5169082125603864
70,1,22,100000,100000,595,583,790,787,0.5,0.5110821382007823,0.4969400244798042
70,1,23,100000,100000,612,580,824,818,0.5,0.526867627785059,0.5087924970691676
70,1,24,100000,100000,615,593,802,796,0.5,0.5215736040609137,0.5290556900726392
70,1,25,100000,100000,565,574,812,814,0.5,0.5168690958164642,0.4840236686390533
70,1,26,100000,100000,550,561,783,791,0.5,0.5083565459610028,0.5115995115995116
70,1,27,100000,100000,591,621,802,802,0.5,0.5149934810951761,0.5318892900120337
70,1,28,100000,100000,608,598,793,784,0.5,0.47375,0.4981684981684982
70,1,29,100000,100000,583,574,804,799,0.5,0.5071895424836601,0.4921968787515006
70,1,30,100000,100000,551,566,788,796,0.5,0.49517241379310345,0.49696233292831105
70,1,31,100000,100000,542,577,799,791,0.5,0.4979536152796726,0.5066666666666667
70,1,32,100000,100000,574,555,799,800,0.5,0.4771505376344086,0.48062953995157387
70,1,33,100000,100000,578,607,794,786,0.5,0.4885290148448043,0.4865853658536585
70,1,34,100000,100000,590,578,790,793,0.5,0.48938992042440316,0.4963235294117647
70,1,35,100000,100000,582,545,786,797,0.5,0.5192582025677603,0.5292682926829269
70,1,36,100000,100000,576,579,795,793,0.5,0.4915032679738562,0.4813027744270205
70,1,37,100000,100000,592,578,808,789,0.5,0.5241830065359477,0.517490952955368
70,1,38,100000,100000,579,578,798,795,0.5,0.4849279161205767,0.4969770253929867
70,1,39,100000,100000,616,563,809,802,0.5,0.49417852522639066,0.5225118483412322
70,1,40,100000,100000,547,587,786,804,0.5,0.5574468085106383,0.5225885225885226
70,1,41,100000,100000,555,591,792,794,0.5,0.5224719101123596,0.5067155067155067
70,1,42,100000,100000,579,603,796,793,0.5,0.515032679738562,0.48188405797101447
70,1,43,100000,100000,586,570,800,801,0.5,0.5111695137976346,0.5066505441354293
70,1,44,100000,100000,557,596,803,809,0.5,0.5100671140939598,0.4768133174791914
70,1,45,100000,100000,569,603,800,790,0.5,0.4899328859060403,0.4721549636803874
70,1,46,100000,100000,597,589,805,799,0.5,0.5128865979381443,0.5018181818181818
